C:\mbw\results\A05_578.txt												
RUN INFORMATION:												
================												
Counting protocol no:  5                                  Thu  9-Nov-2023  4:14												
Name: 3H_2MIN												
CPM normalization protocol no: 91												
												
												
COLUMNS:												
========												
 	SAMPLE	POS	CCPM1	CCPM1%								
 	Unk_167	F11	1354	4.7								
 	Unk_168	F12	1383	4.6								
 	Unk_169	G01	1354	4.7								
 	Unk_170	G02	27	27.3								
 	Unk_171	G03	447	7.2								
 	Unk_172	G04	754	5.8								
 	Unk_173	G05	1108	5								
 	Unk_174	G06	1314	4.7								
 	Unk_175	G07	1245	4.8								
 	Unk_176	G08	1423	4.6								
 	Unk_177	G09	1400	4.6								
 	Unk_178	G10	1338	4.7								
 	Unk_179	G11	1359	4.6								
 	Unk_180	G12	1374	4.6								
 	Unk_181	H01	1389	4.6								
 	Unk_182	H02	27	27.6								
 	Unk_183	H03	424	7.4								
 	Unk_184	H04	764	5.8								
 	Unk_185	H05	1030	5.1								
 	Unk_186	H06	1247	4.8								
 	Unk_187	H07	1326	4.7								
 	Unk_188	H08	1389	4.6								
 	Unk_189	H09	1375	4.6								
 	Unk_190	H10	1357	4.6								
 	Unk_191	H11	1405	4.6								
 	Unk_192	H12	1330	4.7								
 	Unk_193	A01	7420	3.1								
 	Unk_194	A02	23	29.6								
 	Unk_195	A03	242	9.5								
 	Unk_196	A04	656	6.2								
 	Unk_197	A05	2845	3.7								
 	Unk_198	A06	6786	3.1								
 	Unk_199	A07	7288	3.1								
 	Unk_200	A08	7712	3.1								
 	Unk_201	A09	7723	3.1								
 	Unk_202	A10	7543	3.1								
 	Unk_203	A11	7245	3.1								
 	Unk_204	A12	6909	3.1								
 	Unk_205	B01	7257	3.1								
 	Unk_206	B02	33	24.9								
 	Unk_207	B03	231	9.8								
 	Unk_208	B04	717	5.9								
 	Unk_209	B05	3165	3.6								
 	Unk_210	B06	6468	3.2								
 	Unk_211	B07	7387	3.1								
 	Unk_212	B08	7455	3.1								
 	Unk_213	B09	6962	3.1								
 	Unk_214	B10	6869	3.1								
 	Unk_215	B11	7058	3.1								
 	Unk_216	B12	6952	3.1								
 	Unk_217	C01	7390	3.1								
 	Unk_218	C02	42	22.2								
 	Unk_219	C03	728	5.9								
 	Unk_220	C04	1618	4.4								
 	Unk_221	C05	3495	3.6								
 	Unk_222	C06	5613	3.2								
 	Unk_223	C07	7116	3.1								
 	Unk_224	C08	7511	3.1								
 	Unk_225	C09	7441	3.1								
 	Unk_226	C10	7428	3.1								
 	Unk_227	C11	7713	3.1								
 	Unk_228	C12	7124	3.1								
 	Unk_229	D01	7178	3.1								
 	Unk_230	D02	24	29								
 	Unk_231	D03	762	5.8								
 	Unk_232	D04	1656	4.4								
 	Unk_233	D05	3356	3.6								
 	Unk_234	D06	5571	3.2								
 	Unk_235	D07	6787	3.1								
 	Unk_236	D08	7495	3.1								
 	Unk_237	D09	7313	3.1								
 	Unk_238	D10	7416	3.1								
 	Unk_239	D11	7384	3.1								
 	Unk_240	D12	7010	3.1								
 	Unk_241	E01	7443	3.1								
 	Unk_242	E02	31	25.5								
 	Unk_243	E03	1500	4.5								
 	Unk_244	E04	3241	3.6								
 	Unk_245	E05	5202	3.2								
 	Unk_246	E06	6831	3.1								
 	Unk_247	E07	7683	3.1								
 	Unk_248	E08	7740	3								
 	Unk_249	E09	7630	3.1								
 	Unk_250	E10	7512	3.1								
 	Unk_251	E11	7643	3.1								
 	Unk_252	E12	7323	3.1								
 	Unk_253	F01	7426	3.1								
 	Unk_254	F02	33	24.9								
 	Unk_255	F03	1432	4.6								
 	Unk_256	F04	3212	3.6								
 	Unk_257	F05	5167	3.3								
 	Unk_258	F06	6893	3.1								
 	Unk_259	F07	7872	3								
 	Unk_260	F08	7629	3.1								
 	Unk_261	F09	7516	3.1								
 	Unk_262	F10	7540	3.1								
