C:\mbw\results\A05_578.txt												
RUN INFORMATION:												
================												
Counting protocol no:  5                                  Thu  9-Nov-2023  4:14												
Name: 3H_2MIN												
CPM normalization protocol no: 91												
												
												
COLUMNS:												
========												
 	SAMPLE	POS	CCPM1	CCPM1%								
B	7257	33	231	717	3165	6468	7387	7455	6962	6869	7058	6952
C	7390	42	728	1618	3495	5613	7116	7511	7441	7428	7713	7124
D	7178	24	762	1656	3356	5571	6787	7495	7313	7416	7384	7010
E	7443	31	1500	3241	5202	6831	7683	7740	7630	7512	7643	7323
F	7426	33	1432	3212	5167	6893	7872	7629	7516	7540	7528	7477
G	7277	15	60	172	518	1768	3843	6233	7047	7050	7146	7594
H	6697	12	52	158	434	1521	3646	6170	6694	7020	6911	7855
												
End of plate 3												
Plate 4												
Cassette information:												
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   4/Shelf: 4/8*12												
												
												
CCPM1												
												
 	1	2	3	4	5	6	7	8	9	10	11	12
A	7401	32	553	1723	3658	6733	7462	8275	8122	7764	7956	7630
B	7607	50	423	1622	3389	6444	7359	7549	7460	7737	7950	7630
C	7306	24	221	945	3950	7294	7910	8023	8129	7774	7892	7972
D	7314	25	226	792	3130	6650	7522	7874	7409	7557	7755	7777
E	7420	22	57	212	499	1848	4156	6780	7428	7657	7684	8243
F	7405	20	64	179	519	1772	4088	6237	7443	7864	7895	8240
G	7384	24	472	1609	3746	6552	7532	7745	7550	7562	7617	7877
H	7016	24	528	1867	3742	6507	7249	7497	7603	7493	7731	7697
												
End of plate 4												
Plate 5												
Cassette information:												
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   5/Shelf: 5/8*12												
												
												
CCPM1												
												
 	1	2	3	4	5	6	7	8	9	10	11	12
A	1266	21	48	79	138	191	461	894	1131	1189	1262	1243
B	1227	18	40	89	144	352	656	868	1101	1196	1172	1275
C	1344	22	88	286	519	869	1159	1292	1265	1259	1291	1317
D	1271	27	89	242	526	902	1186	1200	1278	1330	1333	1226
E	1213	11	80	246	484	946	1195	1297	1322	1225	1327	1301
F	1294	18	66	222	464	853	1062	1278	1188	1289	1354	1232
G	1281	18	22	39	128	244	479	833	1044	1315	1322	1296
H	1146	17	18	32	75	187	371	696	1012	1074	1238	1233
												
End of plate 5												
Plate 6												
Cassette information:												
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   6/Shelf: 6/8*12												
												
												
CCPM1												
												
 	1	2	3	4	5	6	7	8	9	10	11	12
A	1336	28	16	23	53	139	400	869	1066	1162	1320	1302
B	1403	27	15	35	62	173	401	831	1050	1193	1245	1220
C	1303	20	49	189	491	842	1071	1241	1265	1212	1305	1244
D	1253	24	51	212	459	882	1128	1276	1212	1282	1299	1189
E	1261	20	78	171	361	697	1020	1262	1211	1477	1274	1248
F	1256	20	72	203	367	687	1087	1216	1238	1349	1384	1274
G	1334	23	267	609	907	1264	1236	1251	1049	1318	1366	1294
H	1190	16	239	551	816	1149	1245	1268	1267	1361	1300	1195
												
End of plate 6												
Plate 7												
Cassette information:												
Assay:-/Prot:-/Cass:-/Func:STOP/Cassette no:   7/Shelf: 7/8*12												
												
												
CCPM1												
												
 	1	2	3	4	5	6	7	8	9	10	11	12
A	5	5	4	8	4	6	7	6	2	4	3	3
B	5	6	6	4	7	7	3	3	3	4	1	2
C	6	6	4	6	8	4	983	1075	1039	3	3	4
D	7	4	3	7	7	6	1676	1651	1686	3	2	2
E	7	6	5	7	8	5	2389	2474	2397	2	3	5
F	8	7	4	6	5	5	3	2	6	3	2	6
G	8	8	5	7	6	5	4	8	5	4	8	7
H	6	3	5	6	4	3	9	5	6	4	9	9
												
End of plate 7												
Total count rate:  1333228.7 CCPM												
END												
